experiment,source,condition,n,sel_p_q_count,sel_p_q_share_pct,sel_p_count,sel_p_share_pct,sel_p_notq_count,sel_p_notq_share_pct,sel_p_q_notq_count,sel_p_q_notq_share_pct,sel_all_count,sel_all_share_pct,sel_other_count,sel_other_share_pct,mean_price_usd,mean_steps,budget_rate_pct
wason-selection-deontic,Claude Opus 4.8,direct,30,0,0.0,0,0.0,8,26.7,0,0.0,0,0.0,22,73.3,,1.0,0.0
wason-selection-deontic,Claude Opus 4.8,falsify_prompt,30,0,0.0,0,0.0,26,86.7,0,0.0,0,0.0,4,13.3,,2.0,0.0
wason-selection-deontic,Claude Opus 4.8,deliberate,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection-deontic,Claude Opus 4.8,free_agent,30,0,0.0,0,0.0,30,100.0,0,0.0,0,0.0,0,0.0,,4.0,0.0
wason-selection-deontic,Humans (Representative deontic-task result — Griggs & Cox (1982). Proportions approximate.),direct,,,10.0,,5.0,,75.0,,3.0,,5.0,,2.0,0.0,,
